customer_id,age,gender,income,region
4keZ2zIYx1Wn,65,F,29000,Midwest
IKJ2LvThpQsr,25,F,85000,West
ISWPLeR8ogd6,58,F,15000,South
aisyaiHuiekR,44,M,41000,Northeast
BvIj3pzJSuIf,53,F,27000,West
aMUo7UXYgTSP,35,F,22000,Midwest
mEbIjcuNxRz1,40,F,58000,Northeast
qrXtB4xx5DSu,34,F,67000,South
3x7atAMWUyYa,25,M,105000,Northeast
uG3JXbQca8xS,54,M,33000,Midwest
Z5XroH5GMOZS,38,M,203000,Midwest
wmxW0y3ALcOD,59,M,16000,West
RWtmfepHX0bZ,18,F,48000,Midwest
976QwfXRFq40,41,M,15000,Midwest
NzjugkCcO77S,25,F,191000,Northeast
VJFNINdrNm02,46,F,27000,Midwest
pn9AFto17jZm,50,F,41000,Midwest
CQAvUOOH77gJ,19,F,25000,West
S5zmYENXBQiP,24,M,93000,Midwest
lnti28jjdwSE,28,M,26000,Midwest
Dz1KnTSHVN9A,45,M,201000,Midwest
Ze8bWKb2jEU0,59,F,132000,Northeast
aN0CCcAdfIW0,41,M,54000,West
KiCxC4LJFo8P,41,F,88000,West
SXnfMJUwDr2j,27,F,104000,West
qfD6zw4Nrf42,51,F,56000,Northeast
MKE1SREQxS5g,23,F,15000,South
NLmiVGxzidZm,55,M,28000,West
FBrwhDsdXFo9,58,M,20000,South
yerubOzvS1cJ,33,M,23000,Midwest
CvEuROBNtn51,45,M,54000,Midwest
lOqfBwG0qOO5,26,M,216000,Midwest
fvxUngnnNudY,45,F,1e+05,West
RIKhPVXL2NdX,32,M,95000,West
qqmNpOVX3KiN,45,F,22000,Midwest
Hyj3hxrWz3bc,26,F,79000,Midwest
Ov9FoHedvGw1,61,F,24000,South
TM2BtIY6j87h,24,F,15000,South
RHpWVnbuw71v,63,M,288000,West
78WRuNXTgqVL,60,M,15000,Northeast
S5sg8sVZEkF4,34,M,15000,South
uYsbpNaVBH34,39,M,131000,Northeast
qGmovpgF19GC,60,F,80000,Northeast
qnPM4Xcr8aot,23,M,236000,South
nBcAZtOU1idh,41,M,15000,Northeast
hcwsKBttZdNW,37,F,46000,Midwest
qyDxFo9WV72b,27,M,66000,Midwest
V0bvE3qHH6YQ,36,M,15000,South
H4GuSI4REkod,65,M,162000,West
NHPmjInSU2KH,29,F,78000,West
KVjmHYugjtJk,29,F,184000,Midwest
Wt0zv3NSoq9d,24,M,50000,Midwest
2KxIWAaYeTW9,58,M,125000,South
uOm4lW3sXFje,18,M,88000,Northeast
XOsnD50xiMup,21,M,71000,Midwest
Jo3rTTJNxAgY,57,M,34000,West
0uGeYroWJHWi,37,M,73000,West
sjRYKQKwr1GL,34,M,15000,West
lOqzEpIuqJvF,30,F,99000,West
cHfoeZrdIxh1,54,M,24000,Midwest
4wWob19FkYQM,39,M,42000,Northeast
z1yUW7ScjY2H,28,M,25000,Midwest
1HkJ5HI51czD,33,M,16000,South
f3hmS9ODtmj5,65,F,74000,Midwest
K8HBelDeBAGD,46,F,22000,South
JSVWmiMPk4Gv,62,M,70000,Northeast
yfCmYvNqhdze,47,M,33000,Midwest
puEi8zgV2cWv,30,M,33000,Northeast
E3iARgsCClAn,37,M,87000,Midwest
RZCLY9H7r7Yg,40,M,63000,Northeast
mZM2CzTPM8bu,39,F,23000,West
zIDywdX9olTj,24,F,54000,Northeast
GbZycuDYVpaZ,62,F,26000,Midwest
69BYcS3kHOca,25,M,34000,West
QIfqVxJNnWqf,19,M,183000,West
U18VxATSjdj5,25,F,31000,West
WKjLzqeTqn6L,22,M,76000,Northeast
C0g6XeeBDIod,20,M,21000,West
VeE7QzqlLRo1,63,F,52000,South
XbwzLmC68wbC,37,M,15000,South
8iQmYrRje8pX,54,M,192000,South
OStxR2RlJwUC,55,M,17000,Midwest
wNFhERMmIAYg,26,F,82000,Midwest
OvW8GKYpn6ut,41,M,66000,Midwest
EUFbk34FNYtn,65,M,47000,South
3s4zsdEZBJWk,45,M,78000,South
gOUdmjz0RDnX,20,M,60000,South
Eb2uunCDd58H,30,F,22000,Northeast
4Q0yh3vAsZJ7,26,M,102000,West
fllFIDk8YAKo,52,F,93000,West
c2X0olMIqv3V,37,M,26000,West
Cv3ROlx3QKgH,23,F,98000,Northeast
4kTLOJfHunM1,36,M,28000,West
C4SQoevZWDkT,53,M,81000,South
mgywBMPhkDN4,49,M,191000,West
EXzUaaTL4YjC,44,F,211000,South
Ve8rH3ZMSAo4,49,M,38000,West
EWJyO8O5lh1O,19,F,57000,Northeast
z0aiFtpjIx9X,18,M,17000,Midwest
tmm5fh6IEYv2,36,M,41000,South
lv3cPBenXOiT,40,F,187000,Northeast
sJdG7vu83ewp,54,M,34000,Midwest
MKefrxxGeGaX,61,M,16000,Midwest
HAZQUVDtFwkW,35,M,154000,Northeast
bXzncBdrAXKb,52,F,55000,Midwest
5o0z7E3cy0hk,26,F,116000,South
uog8Dddd4rLl,49,F,26000,West
P006TU6SnOtD,22,M,42000,South
Ev75e0o35RuJ,38,M,16000,Midwest
KNnIjwVb8I0V,45,M,15000,South
IlY8FAA3xqsl,35,M,1e+05,West
c6QE9JLmnN2F,26,M,19000,Midwest
UWvxu69CXMcm,60,M,54000,South
kAeWcMOG9btL,62,F,27000,South
lrH7Z6IfjZAz,18,F,266000,West
G9kwosyv0JUN,44,F,15000,Midwest
kdaruUM94XOa,46,F,84000,South
d5P6imzeHTBP,44,F,75000,Midwest
UCmk3Fe3yJmJ,27,F,76000,South
ilQbngy261PG,61,M,32000,West
GffdbV9g0yto,24,F,22000,Midwest
NfZdsrvDmTL7,21,F,223000,West
1n5RdnrazwGK,26,M,170000,West
vPzYdMGad0BV,56,F,235000,Midwest
BeZHH2ee5qmD,64,M,28000,West
rPOEw3qNZb1O,26,M,29000,West
e3jcQ4IYvNzN,40,M,52000,West
pAhV9Vf6Yr3k,36,F,47000,South
reXbOSXKfRl3,38,F,26000,Midwest
rAy7TUT2J2KU,41,M,24000,West
rI13F1y6c6Q9,43,M,87000,Northeast
J5nkcP4LxU1P,31,M,73000,Northeast
spwK6MKB5TOM,37,M,61000,Midwest
WrbPewO2b3ZM,19,M,15000,South
B4oq1RdCO0q9,47,F,80000,Northeast
U9AcGBrft0Cz,44,M,75000,Midwest
3yZdKjrCqujz,19,F,151000,South
85fd8QFkowBV,45,F,25000,South
nHHLBRozXKh8,27,M,16000,West
fH7doS9EWJq2,46,F,35000,South
oPTXUY3kMKPq,25,M,51000,South
rp73hvKPlnGz,36,F,196000,Northeast
6jGfy9HzNzJs,25,M,167000,Midwest
SgZMo1glaXc6,38,F,18000,West
XWgDgzO1EDlD,39,M,128000,Midwest
oHU2fGc3kvuy,59,F,16000,Northeast
xbBxjyastbUd,55,M,64000,Northeast
djDDt8Ef8m2F,29,F,41000,Northeast
xxk2q9LkR3wF,47,F,22000,Northeast
BDxt0DNFhYCL,46,M,15000,Midwest
lBYNYy4qB8VW,46,F,18000,West
GUQq9A7aCSsn,41,M,54000,West
tCmjyXkc2Zst,53,M,77000,West
bYxHWkVht0ys,22,M,55000,Midwest
L9cWpI8I80u1,38,M,28000,Northeast
iU1OqvzIv7Ps,40,M,36000,Northeast
PIJXVC6azBQK,42,M,185000,South
YcGC1HfcwBgu,21,M,118000,Midwest
TKb3KYI7AsJh,54,F,33000,Northeast
1ez7khP0XKNj,57,M,15000,South
QZTfDhEkXxHY,28,M,15000,West
W65fsVGSAogR,45,F,2e+05,West
wlgZImMMzddf,20,M,15000,Midwest
WS2uuIF4B6OD,31,F,160000,West
kk7WqPB7YAIX,57,F,20000,Midwest
9YKUgqCIIFAL,56,F,29000,South
1fj5MKousOI0,53,F,212000,West
GxC0l3B9C9El,58,M,66000,South
p9FZXqlllDUJ,56,M,75000,Midwest
xI4FkIQnYLzH,50,F,34000,Northeast
OdUHz7oiVQyA,19,M,64000,Midwest
qdL9jtkziFkW,51,F,32000,West
OtlAq4kvYhAK,38,F,51000,West
4oVXlqQuc4A7,64,F,147000,West
YxlU2HPtWG2a,39,M,224000,Northeast
4Tf8lBduqjJR,55,M,30000,South
MXZ81jdYa0sU,29,F,24000,Northeast
R8dOp947MFmb,50,M,27000,Northeast
mIP5jTc3eXnG,42,M,22000,Northeast
QKXh6Z012odQ,51,M,220000,Northeast
SwS35Fq7Kdvq,47,M,56000,Northeast
EzO781g8QQDY,35,M,135000,Northeast
Mo17PVBkVM1L,22,M,24000,Midwest
aRBMMNSGVPnz,21,F,63000,Northeast
RGL33u6OExiY,54,F,76000,Northeast
KhlAuhUpF2sI,34,F,191000,West
soFfCSoQkfrD,42,M,34000,Northeast
Qq0tIQVw7L67,50,F,55000,West
1M4zdhyK23k8,30,F,36000,Northeast
1O1SOgt2Ob8d,56,F,15000,South
2dE2PJ9xzFGM,62,F,224000,West
OjsHJl0z0jmn,57,M,19000,Midwest
x0yhJfJDQHaZ,62,F,156000,South
SNaqyzv6cAUh,42,F,66000,South
v2pxWto9Hzrz,26,F,59000,West
9hrAOhIjmmqH,46,M,54000,Northeast
sfFUvCawsDtE,33,M,1e+05,South
ixZ99DPRtdAG,39,M,18000,Midwest
UGe3yyruNGtn,55,M,68000,West
SduI72WiNtnQ,23,M,66000,South
4FSwvBVpWZtJ,37,M,211000,Northeast
vQHl9CopcQVL,53,F,24000,West
S5yVA1fkaWrx,21,F,88000,South
jRkicJiVvEBT,37,M,79000,Midwest
eTdFQf9E494w,39,F,15000,Northeast
hE3NPsRvwFX6,21,M,113000,South
v7zL5rTSzsbL,29,F,15000,South
HtdMW7VdyN9S,59,F,15000,South
mEEmieVH0YcI,33,F,35000,West
HoZu7NqvdaHK,23,F,15000,Northeast
9OxE3NxQiNvZ,32,F,59000,Northeast
R5jTAnDwqSK2,39,F,15000,South
3qKgkR0erFxY,36,M,30000,South
tFjuUURafBgE,56,F,30000,Northeast
Qv8mZqsI1r8m,60,M,63000,Northeast
BNw6Cknzk1ZC,38,M,25000,West
9mF4VwxmK3mF,61,F,97000,Northeast
EW1avYeqh5RG,21,F,67000,West
HvZBWHkiGqML,47,F,137000,Northeast
mcmX7LgAKLsc,61,F,50000,West
C68BLAN5msLM,29,F,15000,South
2SX1EAJXeCx9,61,F,17000,South
rR5mByZZ7DWn,22,F,32000,Midwest
txv6inmbDnq0,61,F,81000,West
RikUesSi16ge,64,M,28000,West
pVe6amUIL3Jb,45,F,45000,Northeast
hlUAU81RboQU,18,F,15000,South
Rv1jMBtPzjuL,37,F,99000,Midwest
aKvr2yv8sN3Y,26,M,164000,Northeast
HUYNn3bYGjNx,43,F,33000,West
jdOqDnG8lKgG,38,F,51000,Northeast
djLcPvEewHlI,46,F,18000,South
7qB3A2QbQQAp,36,F,201000,Midwest
9XrvOUVlqrkf,19,F,147000,Midwest
zV8gfJwjscrV,39,M,68000,West
aLxYDYSOmHRd,26,M,157000,Midwest
6wey50pMSXr6,62,M,48000,West
w2n5YFP17Acc,44,M,15000,South
6IajJjhG6SWE,31,F,20000,South
lZQdtYOSZxx5,46,F,63000,Northeast
UUSK0FWUmda6,46,F,34000,West
z3oQc7WE2Oat,51,F,17000,West
LzhJ1DOgcc5S,33,M,15000,South
kNwqGYO5gadJ,22,F,55000,Midwest
PIy0thVF0buv,34,F,83000,Northeast
mDpar1udcwnz,25,F,29000,Northeast
JpEabeoRxoAD,26,F,56000,South
W4UnRQsoRIOx,57,M,54000,Northeast
P4Xkb7iqrydS,39,M,15000,South
pmwWcOkm9TPi,39,M,52000,West
MRSN0SC0WoIu,24,M,66000,Midwest
2Q5rhDnLf1fQ,42,F,26000,Midwest
3mLtRNBkcHxC,38,M,77000,Northeast
nl8nmL8co15H,42,F,15000,West
aYmeNfNVOgDX,49,M,44000,Midwest
suPxkzwQJsvK,43,M,19000,West
32u2Gvo1qkrD,28,F,52000,Midwest
nSedgZItTCQ4,62,F,31000,Northeast
r4yJ2bKHBLhU,61,F,16000,Northeast
jvYQeEaZRLCb,44,M,36000,Midwest
syxbTGd4wo4u,42,M,42000,South
yMekuNmPDOSD,32,F,167000,Midwest
BVMhRCR89Ger,39,M,26000,South
W59CgkouLpdx,53,F,42000,Midwest
vFlxmFPSVoyl,24,M,15000,Midwest
hsaPlzM5EK8B,35,M,20000,Midwest
yc4Sp5vLfTVG,25,M,15000,West
4mMKex0c3MLn,37,F,20000,West
NpY6pZfZEDCB,50,M,24000,Northeast
JDOk2FWl0ZSt,40,M,48000,Midwest
aclTeW1JPX1p,59,F,22000,Midwest
cFtphLgIYBY8,42,F,87000,West
JC8wpeHk1oPL,21,F,16000,Northeast
VY8xZvE36A28,33,M,17000,Midwest
LaLcAiEjrhXa,34,F,36000,South
3WMqIYBeLVR1,63,M,74000,West
wMIFLZUSikFw,37,F,15000,South
293DUUIcg78T,23,F,35000,South
xvhG4bwFjq1Q,41,F,90000,West
Goc7WMgyyrea,60,M,198000,West
L3TTAakH2y1e,55,M,138000,South
9ruG8F9ngMoG,36,F,37000,South
r3NbLtB2yBIY,27,F,68000,West
YghWZ9ZbbYSZ,53,M,17000,Midwest
dayyHCzbuePQ,31,F,204000,South
aQYWWRjzb0ZU,26,M,15000,South
4J28Dg3rlo1k,46,F,31000,Northeast
drbmczhFuBrA,58,M,60000,Northeast
elh67I8J1a0y,55,M,29000,Northeast
y3xORzRIJR1P,54,M,36000,South
bPljaYZlyDrb,46,F,1e+05,South
SFBar3jE4qWH,49,F,75000,Northeast
jToLbn26CkwR,35,M,51000,Midwest
nPfgT2Og96yc,49,M,165000,West
4FT07mSKqKot,60,F,57000,West
QLNescdJ5rPN,36,F,38000,Northeast
RbATRJBQU89A,57,M,60000,Northeast
ZzQboK0QYrcC,27,M,22000,West
ogXENjVPPWVb,53,M,68000,Midwest
8g8qfqDp3krx,29,F,56000,Northeast
IhkSQXxshuTg,24,M,20000,Midwest
SP6iiGNdDCEv,24,M,97000,Northeast
zJO5bIUU9yIw,41,F,228000,West
OQe2O8IjexQm,59,M,159000,Northeast
YYe9bnCQ0FyU,20,F,18000,South
a49dRnNacYkl,38,F,29000,Northeast
On00gbEfalVt,65,M,37000,Northeast
pby7R3FTX5Yu,27,F,73000,South
SkZnqN6yRYFb,50,F,25000,South
V1g0Iy9vC2Eu,54,M,15000,South
JkLSdIaOzQyx,37,F,47000,West
xrIAu9eSxovF,19,M,90000,Midwest
1oTfzGajZRY0,42,M,20000,West
xnzCccp1hqE8,31,F,24000,West
axeLFYzi2Wzt,45,F,244000,West
6emfZTwgtZfR,46,F,194000,Midwest
jYsmfBBN9YtX,21,M,40000,Northeast
s2QCDpCnBpN5,30,F,31000,West
mJpvoLEMBWV4,25,F,76000,South
e4B5VOqUiCeu,44,F,26000,South
dRjaqFS5HqdI,46,M,37000,Midwest
3NrnL4kXqoFh,53,M,79000,Northeast
NkvfYkmaybMx,53,F,46000,Northeast
Dcfzlr6qKfez,25,F,29000,West
AcuxLe8QoVLS,55,F,208000,Midwest
dJquJXuofaKx,25,F,21000,South
cnomjKg9oRe4,46,M,41000,Midwest
oHmRMyOXwBda,62,M,168000,West
W5oHPs8UolT7,45,M,21000,Midwest
5C8Tc5x4tmYc,41,M,34000,Northeast
8vrU5oQkyPcC,46,F,21000,Midwest
ICw4MbMEZFLX,57,F,28000,South
QtOFF5JG0FxQ,34,F,139000,West
80YjOwOaCTi1,45,F,50000,West
LOCJ60Nl6pox,37,F,15000,South
58GY1lHsJAYE,25,M,58000,West
siGl5utmiPze,21,M,35000,West
dgtkZ3IWqViF,59,F,138000,Midwest
BaLKMPoKJU4E,49,F,162000,West
do07mudHBVXf,60,M,41000,Midwest
EYtdp1yvAp3t,50,M,15000,West
vZ7r6aRWXNBq,34,F,277000,Northeast
rP0xUwomYzuA,19,F,57000,Midwest
E3z47KY8Yszx,34,M,134000,South
ddxVeMiR1WND,19,F,15000,West
5u95k9pC2jI9,39,F,227000,Midwest
QqwMHag7DdF8,28,F,55000,Midwest
LYxzz9Od9GKE,21,F,15000,West
lK2OBvlczGqa,23,M,15000,West
JKAiH1i1g3RN,26,M,50000,West
1KHbemqVnUXs,63,M,15000,South
gfivZPCiDndm,63,M,23000,West
5mJeADRjUqAF,48,M,99000,South
MiPKuVopBuW8,55,M,30000,Midwest
vHenphqBr6Sy,51,M,63000,South
bO8WBycVyJSE,23,F,21000,West
mgOLQE30djOH,23,M,30000,Midwest
5bEyyLp2Q3mt,18,F,95000,Northeast
sbciruCEDLHi,52,M,27000,Midwest
Mz5mm9g6dvfR,62,F,266000,Midwest
ukErYqWXY7ew,27,F,28000,Midwest
9TRBUjyZOnNK,45,M,1e+05,Midwest
